,mean_x,max_x,min_x,sd_x,mean_y,max_y,min_y,sd_y,mean_z,max_z,min_z,sd_z,act,time,time0_start,time1_finish
22,-0.518907692307692,-0.45,-0.574,0.0212668778893981,-0.596158974358974,-0.526,-0.651,0.0246992290662768,-9.67162051282051,-9.653,-9.692,0.00802313598762136,SITTING,2019-06-13 01:44:00,2019-06-13 01:24:02,2019-06-13 02:01:00
23,-0.542166666666667,-0.517,-0.555,0.014260668521029,-0.5885,-0.574,-0.603,0.0132778010227598,-9.6675,-9.663,-9.672,0.00492950301754662,SITTING,2019-06-13 01:45:00,2019-06-13 01:24:02,2019-06-13 02:01:00
24,-0.317237288135593,-0.229,-0.421,0.0483569490205073,0.549805084745763,0.651,0.421,0.0453825833073919,9.7859406779661,9.788,9.784,0.00108993361407334,SITTING,2019-06-13 01:46:00,2019-06-13 01:24:02,2019-06-13 02:01:00
25,-0.302489177489177,-0.153,-0.459,0.0524400992828846,0.531640692640693,0.651,0.421,0.045649762011341,9.78706926406926,9.789,9.784,0.000979999500647174,SITTING,2019-06-13 01:47:00,2019-06-13 01:24:02,2019-06-13 02:01:00
26,-0.314748031496063,-0.229,-0.459,0.0488083340047216,0.554566929133858,0.651,0.459,0.0473441621669302,9.78604724409449,9.788,9.783,0.00120091412085099,SITTING,2019-06-13 01:48:00,2019-06-13 01:24:02,2019-06-13 02:01:00
27,-0.311354066985646,-0.191,-0.498,0.0438591385444456,0.531138755980861,0.612,0.421,0.0469754936149483,9.78714832535885,9.788,9.786,0.000492256938633313,SITTING,2019-06-13 01:49:00,2019-06-13 01:24:02,2019-06-13 02:01:00
28,-0.311334928229665,-0.153,-0.421,0.0494906049273653,0.535909090909091,0.651,0.421,0.0441440644546175,9.7871961722488,9.789,9.786,0.000668512045368951,SITTING,2019-06-13 01:50:00,2019-06-13 01:24:02,2019-06-13 02:01:00
29,-2.66610126582279,-2.595,-2.729,0.0342908356362682,-0.835670886075949,-0.747,-0.928,0.0432851965927914,-8.93684810126582,-8.772,-9.069,0.0577588018839258,SITTING,2019-06-13 01:51:00,2019-06-13 01:24:02,2019-06-13 02:01:00
30,-0.352,0,-0.363,0.0631901891119183,-0.844606060606061,0,-0.871,0.151621638337413,-9.63224242424242,-1.896,-9.874,1.38879153921456,SITTING,2019-06-13 01:52:00,2019-06-13 01:24:02,2019-06-13 02:01:00
31,-0.311604347826087,-0.153,-0.459,0.0518342586908211,0.544386956521739,0.612,0.459,0.0403929692999008,9.78692173913043,9.788,9.786,0.000488251958847262,SITTING,2019-06-13 01:53:00,2019-06-13 01:24:02,2019-06-13 02:01:00
32,-2.21731538461539,-2.106,-2.308,0.0379744987086928,-1.52948461538462,-1.407,-1.647,0.0413310016750542,-8.94518461538461,-8.801,-9.079,0.0525650257492705,SITTING,2019-06-13 01:54:00,2019-06-13 01:24:02,2019-06-13 02:01:00
33,9.711,9.711,9.711,0,-0.459,-0.459,-0.459,0,-1.34,-1.34,-1.34,0,SITTING,2019-06-13 01:55:00,2019-06-13 01:24:02,2019-06-13 02:01:00
34,-0.319215827338129,-0.229,-0.498,0.0521863665062954,0.541424460431655,0.651,0.421,0.0476998432861744,9.78641726618705,9.788,9.783,0.00111575853561203,SITTING,2019-06-13 01:56:00,2019-06-13 01:24:02,2019-06-13 02:01:00
35,-0.317191387559809,-0.114,-0.498,0.0625877977362143,0.544645933014354,0.651,0.383,0.0494475148634243,9.78631100478469,9.788,9.785,0.000868200750545122,SITTING,2019-06-13 01:57:00,2019-06-13 01:24:02,2019-06-13 02:01:00
36,-0.317516746411483,-0.153,-0.498,0.0558968913142228,0.546095693779904,0.651,0.421,0.0520971764942689,9.78634449760766,9.788,9.784,0.00097368296710328,SITTING,2019-06-13 01:58:00,2019-06-13 01:24:02,2019-06-13 02:01:00
37,-0.324564593301435,-0.191,-0.498,0.0536013318752449,0.555416267942584,0.651,0.383,0.0468511752114831,9.78586124401914,9.788,9.784,0.00108525093818102,SITTING,2019-06-13 01:59:00,2019-06-13 01:24:02,2019-06-13 02:01:00
38,-0.308774058577406,-0.153,-0.574,0.0476203384609918,0.538757322175732,0.766,0.421,0.0481671601177351,9.78668619246862,9.789,9.785,0.000619922857584369,SITTING,2019-06-13 02:00:00,2019-06-13 01:24:02,2019-06-13 02:01:00
39,-0.324137339055794,-0.191,-1.072,0.0878355046906897,0.538515021459227,0.919,-0.689,0.126189174446626,9.78645922746781,9.794,9.782,0.00119601108024578,SITTING,2019-06-13 02:01:00,2019-06-13 01:24:02,2019-06-13 02:01:00
