"","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"23",22,-0.894181818181818,-0.842,-0.996,0.0310962441237105,1.35686124401914,1.455,1.264,0.0404884228512724,9.67114354066985,9.674,9.667,0.00148014711441449,"SITTING","2019-06-13 10:03:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"24",23,-0.893588516746412,-0.804,-0.996,0.0372360332902583,1.36145454545455,1.455,1.264,0.0407050730502719,9.67044976076555,9.674,9.667,0.00132962271983709,"SITTING","2019-06-13 10:04:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"25",24,-0.892071770334928,-0.804,-0.996,0.0377272552114934,1.36016267942584,1.455,1.264,0.0389753662895109,9.67096650717703,9.674,9.667,0.00141890659122151,"SITTING","2019-06-13 10:05:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"26",25,-6.86281939799331,-1.369,-10.295,3.41844503694723,1.3444983277592,4.28,-0.325,1.80341138958859,5.94314715719064,9.337,3.782,1.96351869429243,"SITTING","2019-06-13 10:06:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"27",26,0.203329268292683,0.239,0.162,0.016510309014546,-0.206487804878049,-0.086,-0.277,0.026671941969107,9.78015853658536,9.864,9.644,0.0257484144545841,"SITTING","2019-06-13 10:07:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"28",27,-9.43350285714286,-8.964,-10.362,0.197044684654041,-1.30682285714286,-0.383,-2.719,0.627093869618918,3.21942857142857,3.84,0.967,0.516111348902868,"SITTING","2019-06-13 10:08:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"29",28,-9.44473666666667,-9.059,-10.266,0.195843789677914,-1.11799666666667,-0.268,-2.394,0.55064057253587,3.31804666666667,3.917,2.25,0.190209384245553,"SITTING","2019-06-13 10:09:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"30",29,-0.848164502164502,-0.574,-1.034,0.098720020191443,1.3925367965368,1.57,1.264,0.0870553905937613,9.66886147186147,9.675,9.659,0.00456144861599671,"SITTING","2019-06-13 10:10:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"31",30,-0.682087248322148,1.877,-1.264,0.307566712888174,1.51292617449664,1.647,0.996,0.0712661640232654,9.64728859060403,9.702,8.545,0.129580367178579,"SITTING","2019-06-13 10:11:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"32",31,-0.000361502347417853,3.562,-5.631,0.7352455602001,0.123610328638498,2.643,-1.723,0.396762800778368,9.09784976525822,10.351,-10.213,3.44657419273143,"SITTING","2019-06-13 10:12:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"33",32,0.268,0.268,0.268,0,0.095,0.095,0.095,0,10.218,10.218,10.218,0,"SITTING","2019-06-13 10:13:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"34",33,-9.72253170731708,-9.462,-9.883,0.047515066955199,-0.637131707317073,-0.43,-0.727,0.0466717492279039,2.22239512195122,2.614,1.647,0.222861635997803,"SITTING","2019-06-13 10:14:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"35",34,-9.60120118343195,-6.876,-9.96,0.267300895636575,-0.905177514792899,1.944,-3.428,1.2566568570601,2.20295266272189,3.869,0.181,0.392578393909919,"SITTING","2019-06-13 10:15:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"36",35,-9.50161333333333,-7.518,-9.902,0.299661230948105,-1.57808666666667,-0.105,-3.859,0.99617742262446,2.43603,3.974,1.034,0.410822939222367,"SITTING","2019-06-13 10:16:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"37",36,-9.21549504950495,-8.14,-9.816,0.228001255424718,-3.44042574257426,-1.963,-4.127,0.226675421981946,1.67146534653465,3.256,0.45,0.84092404608688,"SITTING","2019-06-13 10:17:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"38",37,-9.19145918367347,-8.887,-9.51,0.0739116946185048,-3.4431156462585,-3.045,-3.715,0.11950212513322,1.97789455782313,2.633,1.513,0.164303159108851,"SITTING","2019-06-13 10:18:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"39",38,-9.14583620689655,-6.617,-10.362,0.323958852566066,-3.46571551724138,-0.114,-6.924,0.545447479734232,1.7816724137931,3.61,-0.632,0.683549658205155,"SITTING","2019-06-13 10:19:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"40",39,-9.50037333333333,-9.376,-9.682,0.0497522981496451,-2.84914666666667,-2.566,-2.959,0.0775047850891266,1.34596,1.656,1.197,0.0970130166802651,"SITTING","2019-06-13 10:20:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"41",40,-9.4956,-9.347,-9.605,0.0392324814012475,-2.89366923076923,-2.748,-3.093,0.0459800071924657,1.25315384615385,1.446,1.015,0.0810589278938105,"SITTING","2019-06-13 10:21:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"42",41,-9.53826666666666,-9.423,-10.008,0.0886550861134621,-2.5631,-1.963,-2.853,0.135680794389264,1.60428333333333,1.972,0.794,0.17156607578884,"SITTING","2019-06-13 10:22:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"43",42,-9.34735862068965,-7.202,-10.295,0.439987052774505,-2.96648965517241,-2.47,-5.966,0.763708087750169,1.75893103448276,2.47,-0.555,0.352972784896222,"SITTING","2019-06-13 10:23:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"44",43,-0.496784615384615,-0.421,-0.574,0.0401048982326851,0.149984615384615,0.268,0.076,0.0394911401339051,9.79302307692308,9.794,9.792,0.000520366367886917,"SITTING","2019-06-13 10:25:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"45",44,0.0535512195121951,2.183,-2.7,0.635433967474642,-9.61523414634146,-9.433,-10.103,0.128297730501522,2.5086487804878,5.966,-0.794,1.61229375442255,"SITTING","2019-06-13 10:26:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"46",45,0.292807453416149,0.335,-1,0.105665777071384,0.51111801242236,71,0.038,5.59006202601868,11.9230124223602,322.625,9.778,24.640442612448,"SITTING","2019-06-13 10:29:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"47",46,0.1664,0.296,-1,0.398900383290708,7.1855,71,0.095,21.8240985163794,41.0627,322.625,9.778,96.2922748544353,"SITTING","2019-06-13 10:30:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"48",47,-5.171,-5.171,-5.171,0,-1.197,-1.197,-1.197,0,-8.303,-8.303,-8.303,0,"SITTING","2019-06-13 10:33:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"49",48,-0.612662790697674,-0.555,-0.718,0.0370784250140589,-9.92154069767442,-9.816,-10.008,0.0266419529248654,0.217866279069767,0.536,-0.181,0.101225702432027,"SITTING","2019-06-13 23:02:00","2019-06-13 22:58:41","2019-06-13 23:06:05"
"50",49,-0.50409375,-0.383,-0.641,0.0693459580304526,-9.91128125,-9.854,-9.988,0.0288592070342405,0.13321875,0.43,-0.162,0.156741565472513,"SITTING","2019-06-13 23:05:00","2019-06-13 22:58:41","2019-06-13 23:06:05"
"51",50,-0.652373205741627,4.309,-8.561,2.30973597276702,4.40069377990431,11.942,-2.365,2.66531235577659,8.18887559808612,15.955,0.086,2.79397394539152,"SITTING","2019-06-13 23:06:00","2019-06-13 22:58:41","2019-06-13 23:06:05"
"52",51,-0.318278625954199,2.384,-0.699,0.445249699683323,-10.0320744274809,-9.184,-10.276,0.101177806661625,0.168572519083969,3.668,-1.848,0.786004507944534,"STANDING","2019-06-13 23:08:00","2019-06-13 23:06:07","2019-06-13 23:09:25"
"53",52,-1.12349282296651,2.097,-4.3,1.40283285204102,2.72157894736842,6.024,-0.526,1.22519723480346,8.62794736842105,14.375,3.562,1.898467279581,"WALKING","2019-06-13 23:27:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"54",53,-0.050021978021978,4.597,-5.219,0.733028208916379,0.0935934065934066,1.446,-1.905,0.256095944608525,9.81865934065934,10.305,9.672,0.0752041990228701,"WALKING","2019-06-13 23:30:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"55",54,0.15662441314554,0.229,0.076,0.0390561976003594,0.0310422535211268,0.114,-0.038,0.0393957077753923,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:31:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"56",55,-0.323215311004785,5.976,-2.011,1.59432651158214,3.42778947368421,5.813,-1.331,1.74417946150249,8.3153971291866,18.177,2.384,1.95584515968048,"WALKING","2019-06-13 23:32:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"57",56,0.156347280334728,0.229,0.114,0.0357874312317744,0.0322761506276151,0.114,-0.038,0.0334645035858314,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:34:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"58",57,0.15484030418251,0.268,0.076,0.039266912667556,0.0348250950570342,0.153,-0.076,0.037439108546418,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:36:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"59",58,0.153839826839827,0.229,0.076,0.0355180954244253,0.035047619047619,0.153,-0.038,0.0385676410992245,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:37:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"60",59,0.156811158798283,0.229,0.076,0.0342182202792961,0.0353905579399142,0.114,-0.038,0.0395176444238273,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:42:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"61",60,0.154377049180328,0.229,0.114,0.0355814322200336,0.0308360655737705,0.114,-0.076,0.0380256271947122,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:43:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"62",61,0.15337558685446,0.229,0.076,0.0369163992456262,0.0313990610328638,0.114,-0.076,0.0350704869615173,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:46:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"63",62,0.150814814814815,0.229,0.076,0.0392572003303569,0.0281481481481481,0.114,-0.038,0.0359385277630815,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:47:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"64",63,0.156017391304348,0.229,0.076,0.0386250552456344,0.0309,0.153,-0.038,0.0337956031868027,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:49:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"65",64,-0.683359413202934,0.785,-1.13,0.0844087592776489,-9.63321515892421,-9.146,-12.172,0.137184906936632,1.78134229828851,1.81,-2.403,0.297601828339443,"WALKING","2019-06-13 23:53:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"66",65,0.157047169811321,0.268,0.076,0.0414663103817503,0.0387358490566038,0.153,-0.038,0.0399886416937401,9.805,9.805,9.805,0,"WALKING","2019-06-13 23:54:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"67",66,-0.334393643031785,1.551,-2.959,0.624485010619872,-10.278173594132,-2.384,-16.338,2.03192375080979,0.348943765281174,0.603,-5.909,0.767899170813322,"WALKING","2019-06-13 23:57:00","2019-06-13 23:25:48","2019-06-13 23:57:41"
"68",67,0.200327014218009,3.275,-4.759,1.58696077371634,4.70479620853081,9.213,0.919,1.39977499592744,8.32314218009479,18.158,3.62,2.17481193465484,"STANDING","2019-06-13 23:59:00","2019-06-13 23:57:47","2019-06-13 23:59:35"
