"","X.1","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"21",21,20,-0.356016129032258,-0.306,-0.459,0.0420395956741034,0.169451612903226,0.268,0.076,0.0383806121733164,9.79833870967742,9.799,9.798,0.000477134492744918,"SITTING","2019-06-13 03:04:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"22",22,21,-1.21087951807229,-0.134,-1.666,0.630989841779591,2.0050843373494,2.499,0.622,0.811420467900151,-9.58926506024096,-9.376,-9.883,0.179235305506296,"SITTING","2019-06-13 03:05:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"23",23,22,-5.35727868852459,-5.267,-5.526,0.0469538655754847,-4.4862868852459,-4.395,-4.616,0.0422842563961865,7.14691803278689,7.326,6.981,0.0656242232746082,"SITTING","2019-06-13 03:06:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"24",24,23,0.61065652173913,0.689,0.498,0.0390699666435195,9.44528260869565,9.538,9.347,0.0386830492443634,0.176039130434783,0.195,0.159,0.00614548786302727,"SITTING","2019-06-13 03:07:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"25",25,24,-5.35553125,-4.884,-5.918,0.11007614141082,-4.58897916666667,-4.29,-5.2,0.101386179808396,7.08452083333333,7.422,6.56,0.0914504155746266,"SITTING","2019-06-13 03:08:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"26",26,25,0.644582159624413,0.881,0.383,0.0873087076696057,9.5086338028169,9.807,9.347,0.12004168766103,0.136239436619718,0.196,0.001,0.0680726162191992,"SITTING","2019-06-13 03:09:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"27",27,26,0.773090909090909,0.919,0.689,0.0461043826570265,9.75168686868687,9.845,9.653,0.0442044522793722,0.00397979797979798,0.009,0,0.00207993228883017,"SITTING","2019-06-13 03:10:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"28",28,27,-5.98136971830986,-4.788,-7.077,0.172954927640046,-3.8530985915493,-2.557,-4.654,0.764522519501463,7.04076408450704,8.514,6.483,0.487140554062411,"SITTING","2019-06-13 03:11:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"29",29,28,0.769326446280991,0.881,0.536,0.0443839907375589,9.74819008264463,9.845,9.615,0.0404287835612465,0.0040495867768595,0.009,0,0.00193183094055742,"SITTING","2019-06-13 03:12:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"30",30,29,0.763147540983607,0.881,0.689,0.0449111921364101,9.74960655737705,9.845,9.653,0.0411738375075176,0.00366393442622951,0.008,0,0.00182849262498732,"SITTING","2019-06-13 03:13:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"31",31,30,1.72259330143541,9.625,-6.033,3.90372411345799,0.695095693779904,4.606,-4.328,1.95573082946942,8.76056459330144,16.578,-5.324,3.01513266178512,"SITTING","2019-06-13 03:14:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"32",32,31,-3.00329787234042,-2.528,-3.476,0.450840563493378,0.708936170212766,0.909,0.565,0.137382582950159,-9.45340425531915,-9.213,-9.701,0.237509053335408,"SITTING","2019-06-13 03:15:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"33",33,32,0.763539906103286,0.881,0.689,0.043741032007981,9.7485117370892,9.807,9.653,0.0417631021502663,0.003981220657277,0.01,0,0.0018273664969809,"SITTING","2019-06-13 03:16:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"34",34,33,0.770747252747253,0.881,0.651,0.0436118213858464,9.75153846153846,9.845,9.653,0.0485375702574383,0.0038021978021978,0.008,0.001,0.00179641482600936,"SITTING","2019-06-13 03:17:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"35",35,34,-6.82208333333333,-6.636,-6.981,0.0584248805447359,-5.3155625,-5.19,-5.439,0.0511262240877779,5.1531875,5.324,4.97,0.069642744360811,"SITTING","2019-06-13 03:18:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"36",36,35,-0.0348630705394191,0.038,-0.153,0.0412634059694443,0.453091286307054,0.612,0.344,0.047750043267923,9.79598340248962,9.798,9.794,0.000865865679437265,"SITTING","2019-06-13 03:19:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"37",37,36,-3.505,-3.505,-3.505,0,-0.124,-0.124,-0.124,0,-9.28,-9.28,-9.28,0,"SITTING","2019-06-13 03:20:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"38",38,37,-3.505,-3.505,-3.505,0,-0.124,-0.124,-0.124,0,-9.28,-9.28,-9.28,0,"SITTING","2019-06-13 03:21:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"39",39,38,-3.37261344537815,-1,-3.505,0.221928989606719,0.480403361344538,71,-0.143,6.51931015550859,-6.60517647058824,322.625,-9.414,30.4362786856624,"SITTING","2019-06-13 03:22:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"40",40,39,-3.38,-3.38,-3.38,0,-0.114,-0.114,-0.114,0,-9.414,-9.414,-9.414,0,"SITTING","2019-06-13 03:23:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"41",41,40,-6.71146540880503,-4.941,-7.91,0.786459698886784,-6.16429559748428,-4.798,-7.058,0.232344614019864,4.0702641509434,6.004,2.662,1.20001567211723,"SITTING","2019-06-13 03:24:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"42",42,41,-0.0131316872427984,0.191,-0.153,0.0404137580906455,0.468020576131687,0.689,0.344,0.0460391002130475,9.79543621399177,9.796,9.794,0.000552085890103149,"SITTING","2019-06-13 03:25:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"43",43,42,-3.179,-3.179,-3.179,0,0.537853658536586,0.612,0.536,0.0118692059035341,-9.25636585365854,-9.251,-9.471,0.0343582276154935,"SITTING","2019-06-13 03:26:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"44",44,43,-6.29599,-6.081,-7.096,0.0893488329329953,-6.01598,-5.803,-6.483,0.0694586299238835,5.11703,5.324,3.964,0.110278527429596,"SITTING","2019-06-13 03:27:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"45",45,44,-6.39587333333333,-6.119,-8.169,0.396164990402937,-5.90167333333333,-3.648,-6.407,0.484063257657097,5.08715666666667,5.344,4.29,0.13630900902739,"SITTING","2019-06-13 03:28:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"46",46,45,-9.65609523809523,-9.299,-9.864,0.097120102083377,-2.24671428571428,-2.059,-2.576,0.247308170209116,-1.52444642857143,0.584,-2.499,1.2786774125074,"SITTING","2019-06-13 03:29:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"47",47,46,-2.672,-2.672,-2.672,0,-1.522,-1.522,-1.522,0,-9.414,-9.414,-9.414,0,"SITTING","2019-06-13 03:30:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"48",48,47,0.265078651685393,0.344,0.153,0.045064152433226,0.268573033707865,0.344,0.153,0.0404648802949291,9.79885393258427,9.799,9.798,0.000355174790444049,"SITTING","2019-06-13 03:31:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"49",49,48,-2.78479104477612,5.545,-14.001,3.54291316519604,-9.74735820895522,-0.239,-19.604,4.52663656162551,-0.500174129353234,15.256,-12.124,3.72044602225692,"SITTING","2019-06-13 03:32:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"50",50,49,-1.17725903614458,-0.708,-2.739,0.849535708709409,-0.640403614457831,-0.383,-1.522,0.466369914031908,-9.76468674698795,-9.337,-9.883,0.215676942907862,"SITTING","2019-06-13 03:33:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"51",51,50,-9.845,-9.845,-9.845,0,-1.915,-1.915,-1.915,0,-1.11,-1.11,-1.11,0,"SITTING","2019-06-13 03:34:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"52",52,51,0.787869565217391,0.919,0.689,0.0434143279709888,-0.038995652173913,0.076,-0.153,0.042615012405535,9.77508260869565,9.777,9.773,0.00072217053588015,"SITTING","2019-06-13 03:35:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"53",53,52,0.790338095238095,0.919,0.689,0.0427242742896752,-0.0570666666666666,0.076,-0.191,0.0484961926521494,9.77451428571429,9.776,9.773,0.000752848316617381,"SITTING","2019-06-13 03:36:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"54",54,53,-9.778,-9.778,-9.778,0,-0.756,-0.756,-0.756,0,-1.57,-1.57,-1.57,0,"SITTING","2019-06-13 03:37:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
